AggTypeName,AggValueCode,AggValueName,PropertyTypeName,DateYyyyMm,PriceTier1,PriceTier3,PriceTier5,HPISA,HPINorm2000,yyyymm,hpi
MSA,19804,"Detroit-Dearborn-Livonia, MI",All Property Types,201503,37050,114821,314556,111883,78.793820721725581,201503,111883
MSA,19804,"Detroit-Dearborn-Livonia, MI",All Property Types,201504,37680,116381,317494,112407,79.915280216546137,201504,112407
MSA,19804,"Detroit-Dearborn-Livonia, MI",All Property Types,201505,38264,117515,319978,112894,80.805262720325615,201505,112894
MSA,19804,"Detroit-Dearborn-Livonia, MI",All Property Types,201506,38797,118887,323773,113396,81.826022059785842,201506,113396
MSA,19804,"Detroit-Dearborn-Livonia, MI",All Property Types,201507,38822,119109,325310,113690,82.026506038669154,201507,113690
MSA,19804,"Detroit-Dearborn-Livonia, MI",All Property Types,201508,38660,119064,325259,113981,81.930812576679841,201508,113981
MSA,19804,"Detroit-Dearborn-Livonia, MI",All Property Types,201509,38344,118450,323340,114220,81.396243356742787,201509,114220
MSA,19804,"Detroit-Dearborn-Livonia, MI",All Property Types,201510,37785,117119,319418,114275,80.365285505268517,201510,114275
MSA,19804,"Detroit-Dearborn-Livonia, MI",All Property Types,201511,37468,116235,317747,114556,79.712506076211824,201511,114556
MSA,19804,"Detroit-Dearborn-Livonia, MI",All Property Types,201512,37805,116981,319407,115349,80.198149383630906,201512,115349
MSA,19804,"Detroit-Dearborn-Livonia, MI",All Property Types,201601,38149,117901,321090,116217,80.783457144266222,201601,116217
MSA,19804,"Detroit-Dearborn-Livonia, MI",All Property Types,201602,38679,119133,323342,116866,81.720975894343525,201602,116866
MSA,19804,"Detroit-Dearborn-Livonia, MI",All Property Types,201603,39388,120559,325913,117605,82.847744641823482,201603,117605
MSA,19804,"Detroit-Dearborn-Livonia, MI",All Property Types,201604,40072,122681,329626,118520,84.328024996342137,201604,118520
MSA,19804,"Detroit-Dearborn-Livonia, MI",All Property Types,201605,40831,124311,332864,119431,85.590019739600805,201605,119431
MSA,19804,"Detroit-Dearborn-Livonia, MI",All Property Types,201606,41526,126193,336979,120264,86.918218881600012,201606,120264
MSA,19804,"Detroit-Dearborn-Livonia, MI",All Property Types,201607,41617,126582,338292,120826,87.266978851259836,201607,120826
MSA,19804,"Detroit-Dearborn-Livonia, MI",All Property Types,201608,41350,126255,337083,121107,87.040072084244997,201608,121107
MSA,19804,"Detroit-Dearborn-Livonia, MI",All Property Types,201609,40962,125591,334521,121450,86.487506864614318,201609,121450
MSA,19804,"Detroit-Dearborn-Livonia, MI",All Property Types,201610,40367,124275,330073,121533,85.357460125809979,201610,121533
MSA,19804,"Detroit-Dearborn-Livonia, MI",All Property Types,201611,40239,123784,329495,122141,84.974505592628404,201611,122141
MSA,19804,"Detroit-Dearborn-Livonia, MI",All Property Types,201612,40547,124484,330617,122868,85.369671481828746,201612,122868
MSA,19804,"Detroit-Dearborn-Livonia, MI",All Property Types,201701,40910,125392,331517,123663,85.833444504895255,201701,123663
MSA,19804,"Detroit-Dearborn-Livonia, MI",All Property Types,201702,41835,127516,335827,124924,87.382487299971316,201702,124924
MSA,19804,"Detroit-Dearborn-Livonia, MI",All Property Types,201703,42934,129689,340240,126413,89.103658054063018,201703,126413
MSA,19804,"Detroit-Dearborn-Livonia, MI",All Property Types,201704,44083,132452,345685,128020,91.152513629441444,201704,128020
MSA,19804,"Detroit-Dearborn-Livonia, MI",All Property Types,201705,45454,134812,350914,129789,93.089434181092997,201705,129789
MSA,19804,"Detroit-Dearborn-Livonia, MI",All Property Types,201706,46676,137131,356607,131250,94.932248595360051,201706,131250
MSA,19804,"Detroit-Dearborn-Livonia, MI",All Property Types,201707,47120,137729,358469,132228,95.530293810907978,201707,132228
MSA,19804,"Detroit-Dearborn-Livonia, MI",All Property Types,201708,47080,137311,357233,132783,95.417026656786106,201708,132783
MSA,19804,"Detroit-Dearborn-Livonia, MI",All Property Types,201709,46585,135887,353035,132825,94.495882665092566,201709,132825
MSA,19804,"Detroit-Dearborn-Livonia, MI",All Property Types,201710,46085,134461,348955,133170,93.518413505888844,201710,133170
MSA,19804,"Detroit-Dearborn-Livonia, MI",All Property Types,201711,46172,133753,347802,133958,93.228029375689545,201711,133958
MSA,19804,"Detroit-Dearborn-Livonia, MI",All Property Types,201712,46717,134247,348408,134856,93.688020729269496,201712,134856
MSA,19804,"Detroit-Dearborn-Livonia, MI",All Property Types,201801,47313,134929,349274,135860,94.282183830468554,201801,135860
MSA,19804,"Detroit-Dearborn-Livonia, MI",All Property Types,201802,48617,137472,354302,137460,96.268254076036342,201802,137460
MSA,19804,"Detroit-Dearborn-Livonia, MI",All Property Types,201803,49894,139773,358275,139009,98.083970026997648,201803,139009
MSA,19804,"Detroit-Dearborn-Livonia, MI",All Property Types,201804,51166,142697,363591,140568,100.1780185251866,201804,140568
MSA,19804,"Detroit-Dearborn-Livonia, MI",All Property Types,201805,52348,144607,367642,141801,101.67750418138203,201805,141801
MSA,19804,"Detroit-Dearborn-Livonia, MI",All Property Types,201806,53307,146287,372002,142545,103.01889591548215,201806,142545
MSA,19804,"Detroit-Dearborn-Livonia, MI",All Property Types,201807,53528,146147,372834,142959,103.15899231551026,201807,142959
MSA,19804,"Detroit-Dearborn-Livonia, MI",All Property Types,201808,53284,145739,371276,143283,102.82651268175363,201808,143283
MSA,19804,"Detroit-Dearborn-Livonia, MI",All Property Types,201809,52900,144782,368462,143535,102.09658511019259,201809,143535
MSA,19804,"Detroit-Dearborn-Livonia, MI",All Property Types,201810,52439,143501,365293,143998,101.24121768092758,201810,143998
MSA,19804,"Detroit-Dearborn-Livonia, MI",All Property Types,201811,52182,142090,362576,144066,100.36640372360057,201811,144066
MSA,19804,"Detroit-Dearborn-Livonia, MI",All Property Types,201812,52365,142160,362448,144322,100.3232447012482,201812,144322
MSA,19804,"Detroit-Dearborn-Livonia, MI",All Property Types,201901,52650,142678,362289,144815,100.60713271324238,201901,144815
MSA,19804,"Detroit-Dearborn-Livonia, MI",All Property Types,201902,53710,145006,365648,145785,102.23172234445985,201902,145785
MSA,19804,"Detroit-Dearborn-Livonia, MI",All Property Types,201903,54859,147095,368174,146959,103.76729198473915,201903,146959
MSA,19804,"Detroit-Dearborn-Livonia, MI",All Property Types,201904,56056,149612,371566,148134,105.54844974698754,201904,148134
MSA,19804,"Detroit-Dearborn-Livonia, MI",All Property Types,201905,57171,151532,374394,149475,106.99334342388214,201905,149475
MSA,19804,"Detroit-Dearborn-Livonia, MI",All Property Types,201906,58166,153239,377382,150179,108.35153248460101,201906,150179
MSA,19804,"Detroit-Dearborn-Livonia, MI",All Property Types,201907,58039,152634,374598,149793,107.93178608499818,201907,149793
MSA,19804,"Detroit-Dearborn-Livonia, MI",All Property Types,201908,57681,151758,369785,149517,107.1573400872079,201908,149517
MSA,19804,"Detroit-Dearborn-Livonia, MI",All Property Types,201909,57552,151152,365841,149736,106.52297037797176,201909,149736
MSA,19804,"Detroit-Dearborn-Livonia, MI",All Property Types,201910,56966,149371,361467,149744,105.33275721197425,201910,149744
